8P6rHyKByx4_000106_000116,a group of people are standing on the side of a hill and one of them is holding a sail.
wywuio4R1LY_000053_000063,a person is using an electric drill to clean the floor.
2GvCjSykGgQ_000030_000040,a man is sitting on a stage and a woman is sitting on the stage.
aM2PoO0-5JA_000032_000042,a person is decorating a christmas tree while music is playing in the background.
KCmGCSmwoCc_000077_000087,a group of clams are cooking on a fire.
BRaRVHAxuGw_000489_000499,a group of people are eating and drinking at a restaurant.
VrsrsP28vrU_000000_000010,a young boy is sleeping on a mattress in a room.
GR2ukE_i01w_000003_000013,a young girl blows out the candles on her birthday cake.
MZbcifsfdow_000258_000268,a man is using a tool to work on a machine.
mrKntbg0ibw_000068_000078,a woman is standing on a diving board and doing a dive.
CVomytAd7-0_000020_000030,a person is using a pair of scissors to sharpen them.
0sCQDiNtvKk_000004_000014,a boy is riding a unicycle in a driveway.
zfBWtZ7phDc_000002_000012,an old woman is laughing while a man plays the piano.
LdO2CKhSmD8_000029_000039,a woman is holding a baby in her lap and making funny faces.
aQ4uMrvliQo_000037_000047,a man is jumping on a park bench by the water.
CzOWluWaxbg_000063_000073,a group of kids are sitting on a bench eating food.
K7UifO2RZuY_000017_000027,a group of people are walking through a wooded area.
uJbi9NWqWtQ_000007_000017,a girl does a wheelie on a skateboard in a backyard.
_kQxazaUhMk_000001_000011,a person is using a pen to paint a design on a table.
TrDu3CmJkTM_000013_000023,a person is cooking some kind of shrimp in a frying pan.
pE06YBla7p4_000005_000015,a group of people are playing in the park with one another.
1w9uJD2KvQ0_000348_000358,a woman is showing how to fold clothes in a room.
atLO_DGRq4M_000051_000061,a woman is using a knife to slice a pineapple.
kJbkXbf5H60_000006_000016,a man is playing a saxophone on the street while a woman walks by.
1NFmcmlThdc_000000_000010,a woman is holding a little boy and smiling at the camera.
kS4WteNhMMI_000017_000027,a man is showing how to install a wood board.
CDVobHg563k_000000_000010,two people are shaking hands in a kitchen.
4nHxv7wmwUQ_000227_000237,a pregnant woman is standing in front of a large mirror.
2g9EwtQSdFg_000579_000589,a man wearing a black hat
J8seLvL5KPY_000000_000010,a young man is standing in a field and is standing in front of a water sprinkler.
eGggcI26Us4_000026_000036,a girl is playing the saxophone.
JCoP5W6Y2qA_000000_000010,a man is giving an auction to a group of people.
dcdA8z2NKXo_000097_000107,a girl is sitting on a bed and crying while someone is laughing.
VDAcc_ynPqU_000024_000034,a group of women are dancing to music in a living room.
jODN7qCOn1U_000004_000014,a person is using a vacuum cleaner to clean the floor.
